workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
3,One,2,21207,0.3,0.6,discrete,arc,yes,0.3,0.6,0,0,0,1,vsupdiscretearc
2,One,4,11587,0.4,0.4,discrete,arc,no,0.3,0.6,0.1,-0.2,-0.1,0,discretearc
2,One,14,8591,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
3,One,4,15463,0.8,0.6,discrete,arc,no,0.8,0.6,0,0,0,1,discretearc
2,One,13,8688,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
3,One,5,13174,0.45,0.1,discrete,square,no,0.45,0.1,0,0,0,1,discretesquare
2,One,16,6014,0.45,0.1,discrete,arc,yes,0.2,0.1,0.25,0,0.25,0,vsupdiscretearc
2,One,15,8921,0.3,0.6,discrete,arc,no,0.3,0.6,0,0,0,1,discretearc
3,One,6,5578,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
3,One,10,13239,0.7,0.1,discrete,square,no,0.7,0.1,0,0,0,1,discretesquare
3,One,9,24348,0.1,0.4,discrete,arc,yes,0.2,0.1,-0.1,0.3,0.2,0,vsupdiscretearc
3,One,11,10433,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
3,One,13,17249,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
3,One,3,15566,0.3,0.6,discrete,square,yes,0.3,0.6,0,0,0,1,vsupdiscretesquare
3,One,14,22626,0.8,0.4,discrete,square,no,0.8,0.4,0,0,0,1,discretesquare
3,One,16,7988,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
3,One,8,5977,0.2,0.1,discrete,arc,no,0.2,0.1,0,0,0,1,discretearc
4,One,3,4964,0.7,0.4,discrete,square,yes,0.2,0.1,0.5,0.3,0.8,0,vsupdiscretesquare
4,One,4,23983,0.8,0.6,discrete,arc,no,0.45,0.1,0.35,0.5,0.85,0,discretearc
4,One,2,16516,0.95,0.1,discrete,square,no,0.3,0.6,0.65,-0.5,0.15,0,discretesquare
4,One,6,10891,0.8,0.4,discrete,arc,yes,0.4,0.8,0.4,-0.4,0,1,vsupdiscretearc
4,One,7,10081,0.8,0.4,discrete,arc,no,0.1,0.4,0.7,0,0.7,0,discretearc
3,One,15,7034,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
