workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
13,One,17,5969,0.95,0.1,continuous,arc,no,0.8,0.6,0.15,-0.5,-0.35,0,continuousarc
13,One,16,14956,0.7,0.1,discrete,arc,no,0.45,0.1,0.25,0,0.25,0,discretearc
13,One,19,5882,0.7,0.1,discrete,juxtaposed,no,0.7,0.1,0,0,0,1,discretejuxtaposed
13,One,11,15012,0.4,0.4,discrete,arc,yes,0.45,0.1,-0.05,0.3,0.25,0,vsupdiscretearc
13,One,15,6217,0.8,0.4,discrete,square,no,0.95,0.1,-0.15,0.3,0.15,0,discretesquare
13,One,13,5582,0.4,0.8,continuous,square,no,0.4,0.4,0,0.4,0.4,0,continuoussquare
13,One,23,10660,0.7,0.1,discrete,arc,no,0.7,0.1,0,0,0,1,discretearc
13,One,25,15851,0.7,0.1,continuous,juxtaposed,no,0.7,0.1,0,0,0,1,continuousjuxtaposed
13,One,20,6721,0.3,0.6,continuous,square,no,0.4,0.4,-0.1,0.2,0.1,0,continuoussquare
16,One,16,715,0.3,0.6,discrete,square,no,0.1,0.4,0.2,0.2,0.4,0,discretesquare
13,One,18,10245,0.7,0.4,discrete,juxtaposed,no,0.7,0.4,0,0,0,1,discretejuxtaposed
16,One,21,59,0.95,0.1,continuous,square,no,0.7,0.1,0.25,0,0.25,0,continuoussquare
16,One,19,393,0.1,0.4,discrete,juxtaposed,no,0.1,0.4,0,0,0,1,discretejuxtaposed
16,One,18,646,0.3,0.6,discrete,juxtaposed,no,0.3,0.6,0,0,0,1,discretejuxtaposed
16,One,23,316,0.7,0.4,discrete,arc,no,0.4,0.8,0.3,-0.4,-0.1,0,discretearc
16,One,22,338,0.2,0.1,discrete,arc,yes,0.2,0.1,0,0,0,1,vsupdiscretearc
16,One,26,818,0.4,0.8,continuous,juxtaposed,no,0.7,0.1,-0.3,0.7,0.4,0,continuousjuxtaposed
16,One,25,320,0.2,0.1,discrete,square,yes,0.7,0.1,-0.5,0,-0.5,0,vsupdiscretesquare
16,One,17,526,0.45,0.1,discrete,square,yes,0.2,0.1,0.25,0,0.25,0,vsupdiscretesquare
16,One,15,361,0.8,0.6,discrete,juxtaposed,no,0.2,0.1,0.6,0.5,1.1,0,discretejuxtaposed
16,One,30,350,0.8,0.6,continuous,juxtaposed,no,0.3,0.6,0.5,0,0.5,0,continuousjuxtaposed
16,One,28,460,0.4,0.8,continuous,square,no,0.2,0.1,0.2,0.7,0.9,0,continuoussquare
16,One,31,383,0.3,0.6,discrete,arc,yes,0.8,0.6,-0.5,0,-0.5,0,vsupdiscretearc
16,One,20,106,0.45,0.1,continuous,arc,no,0.3,0.6,0.15,-0.5,-0.35,0,continuousarc
16,One,32,356,0.3,0.6,discrete,juxtaposed,no,0.7,0.4,-0.4,0.2,-0.2,0,discretejuxtaposed
16,One,24,324,0.45,0.1,discrete,square,yes,0.7,0.4,-0.25,-0.3,-0.55,0,vsupdiscretesquare
16,One,36,623,0.8,0.4,continuous,juxtaposed,no,0.95,0.1,-0.15,0.3,0.15,0,continuousjuxtaposed
16,One,34,410,0.1,0.4,discrete,arc,yes,0.8,0.6,-0.7,-0.2,-0.9,0,vsupdiscretearc
16,One,29,600,0.95,0.1,continuous,juxtaposed,no,0.95,0.1,0,0,0,1,continuousjuxtaposed
16,One,35,341,0.1,0.4,discrete,square,no,0.3,0.6,-0.2,-0.2,-0.4,0,discretesquare
16,One,38,521,0.45,0.1,continuous,arc,no,0.4,0.4,0.05,-0.3,-0.25,0,continuousarc
16,One,33,484,0.2,0.1,continuous,arc,no,0.95,0.1,-0.75,0,-0.75,0,continuousarc
16,One,39,365,0.8,0.4,discrete,arc,no,0.2,0.1,0.6,0.3,0.9,0,discretearc
16,One,40,384,0.4,0.4,discrete,arc,yes,0.45,0.1,-0.05,0.3,0.25,0,vsupdiscretearc
16,One,41,1321,0.95,0.1,discrete,juxtaposed,no,0.3,0.6,0.65,-0.5,0.15,0,discretejuxtaposed
16,One,44,543,0.2,0.1,continuous,square,no,0.3,0.6,-0.1,-0.5,-0.6,0,continuoussquare
16,One,45,485,0.7,0.1,discrete,juxtaposed,no,0.7,0.1,0,0,0,1,discretejuxtaposed
16,One,43,396,0.4,0.8,continuous,juxtaposed,no,0.8,0.6,-0.4,0.2,-0.2,0,continuousjuxtaposed
16,One,37,122,0.4,0.4,continuous,arc,no,0.4,0.8,0,-0.4,-0.4,0,continuousarc
16,One,49,662,0.4,0.4,discrete,juxtaposed,no,0.45,0.1,-0.05,0.3,0.25,0,discretejuxtaposed
16,One,46,682,0.3,0.6,discrete,arc,no,0.8,0.4,-0.5,0.2,-0.3,0,discretearc
16,One,48,101,0.1,0.4,continuous,arc,no,0.4,0.4,-0.3,0,-0.3,0,continuousarc
16,One,27,14,0.8,0.4,continuous,square,no,0.7,0.4,0.1,0,0.1,0,continuoussquare
16,One,51,736,0.8,0.4,continuous,square,no,0.95,0.1,-0.15,0.3,0.15,0,continuoussquare
16,One,52,830,0.4,0.8,discrete,arc,yes,0.1,0.4,0.3,0.4,0.7,0,vsupdiscretearc
16,One,47,290,0.8,0.6,continuous,juxtaposed,no,0.3,0.6,0.5,0,0.5,0,continuousjuxtaposed
16,One,54,347,0.7,0.1,discrete,square,no,0.8,0.4,-0.1,-0.3,-0.4,0,discretesquare
16,One,55,13,0.4,0.4,continuous,square,no,0.7,0.1,-0.3,0.3,1.11E-16,0,continuoussquare
16,One,50,461,0.1,0.4,continuous,juxtaposed,no,0.8,0.4,-0.7,0,-0.7,0,continuousjuxtaposed
16,One,53,366,0.1,0.4,discrete,arc,yes,0.3,0.6,-0.2,-0.2,-0.4,0,vsupdiscretearc
16,One,42,402,0.2,0.1,discrete,arc,yes,0.7,0.1,-0.5,0,-0.5,0,vsupdiscretearc
16,One,56,438,0.3,0.6,discrete,arc,no,0.45,0.1,-0.15,0.5,0.35,0,discretearc
16,One,58,340,0.2,0.1,discrete,square,yes,0.3,0.6,-0.1,-0.5,-0.6,0,vsupdiscretesquare
16,One,61,352,0.4,0.8,discrete,square,yes,0.8,0.6,-0.4,0.2,-0.2,0,vsupdiscretesquare
16,One,59,330,0.7,0.4,discrete,arc,no,0.4,0.8,0.3,-0.4,-0.1,0,discretearc
16,One,57,650,0.1,0.4,discrete,juxtaposed,no,0.7,0.1,-0.6,0.3,-0.3,0,discretejuxtaposed
16,One,60,408,0.1,0.4,continuous,arc,no,0.1,0.4,0,0,0,1,continuousarc
16,One,63,329,0.8,0.6,discrete,square,no,0.95,0.1,-0.15,0.5,0.35,0,discretesquare
16,One,64,412,0.7,0.4,discrete,square,no,0.1,0.4,0.6,0,0.6,0,discretesquare
16,One,62,344,0.95,0.1,discrete,square,no,0.7,0.1,0.25,0,0.25,0,discretesquare
17,One,3,91,0.1,0.4,continuous,square,no,0.4,0.8,-0.3,-0.4,-0.7,0,continuoussquare
17,One,7,343,0.7,0.1,discrete,arc,yes,0.4,0.8,0.3,-0.7,-0.4,0,vsupdiscretearc
17,One,4,509,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
17,One,1,1106,0.4,0.8,discrete,square,yes,0.95,0.1,-0.55,0.7,0.15,0,vsupdiscretesquare
17,One,6,135,0.7,0.1,continuous,square,no,0.8,0.6,-0.1,-0.5,-0.6,0,continuoussquare
17,One,2,434,0.4,0.4,discrete,square,yes,0.7,0.4,-0.3,0,-0.3,0,vsupdiscretesquare
17,One,5,6123,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
17,One,10,315,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
17,One,12,338,0.4,0.8,discrete,arc,yes,0.8,0.6,-0.4,0.2,-0.2,0,vsupdiscretearc
17,One,9,322,0.7,0.1,continuous,juxtaposed,no,0.4,0.4,0.3,-0.3,-1.11E-16,0,continuousjuxtaposed
17,One,14,251,0.45,0.1,continuous,juxtaposed,no,0.3,0.6,0.15,-0.5,-0.35,0,continuousjuxtaposed
17,One,15,628,0.4,0.4,discrete,square,yes,0.2,0.1,0.2,0.3,0.5,0,vsupdiscretesquare
17,One,8,435,0.4,0.8,discrete,square,yes,0.95,0.1,-0.55,0.7,0.15,0,vsupdiscretesquare
17,One,17,635,0.45,0.1,continuous,juxtaposed,no,0.7,0.4,-0.25,-0.3,-0.55,0,continuousjuxtaposed
17,One,11,136,0.8,0.4,continuous,square,no,0.4,0.8,0.4,-0.4,0,1,continuoussquare
17,One,18,451,0.7,0.1,discrete,arc,yes,0.8,0.4,-0.1,-0.3,-0.4,0,vsupdiscretearc
17,One,16,346,0.1,0.4,discrete,arc,no,0.8,0.6,-0.7,-0.2,-0.9,0,discretearc
17,One,19,367,0.8,0.4,continuous,arc,no,0.7,0.1,0.1,0.3,0.4,0,continuousarc
17,One,21,300,0.95,0.1,discrete,juxtaposed,no,0.4,0.4,0.55,-0.3,0.25,0,discretejuxtaposed
17,One,24,355,0.7,0.4,discrete,square,no,0.4,0.8,0.3,-0.4,-0.1,0,discretesquare
17,One,23,390,0.45,0.1,discrete,arc,yes,0.45,0.1,0,0,0,1,vsupdiscretearc
17,One,26,693,0.2,0.1,discrete,juxtaposed,no,0.8,0.4,-0.6,-0.3,-0.9,0,discretejuxtaposed
17,One,27,396,0.4,0.8,discrete,arc,yes,0.95,0.1,-0.55,0.7,0.15,0,vsupdiscretearc
17,One,28,284,0.8,0.4,discrete,square,no,0.2,0.1,0.6,0.3,0.9,0,discretesquare
17,One,13,317,0.45,0.1,continuous,square,no,0.2,0.1,0.25,0,0.25,0,continuoussquare
17,One,25,443,0.8,0.4,continuous,arc,no,0.7,0.1,0.1,0.3,0.4,0,continuousarc
17,One,30,372,0.95,0.1,discrete,arc,no,0.1,0.4,0.85,-0.3,0.55,0,discretearc
17,One,20,580,0.8,0.6,discrete,juxtaposed,no,0.1,0.4,0.7,0.2,0.9,0,discretejuxtaposed
17,One,31,47195,0.7,0.4,discrete,square,no,0.95,0.1,-0.25,0.3,0.05,0,discretesquare
17,One,22,460,0.7,0.1,continuous,square,no,0.4,0.4,0.3,-0.3,-1.11E-16,0,continuoussquare
17,One,29,468,0.95,0.1,discrete,arc,yes,0.2,0.1,0.75,0,0.75,0,vsupdiscretearc
17,One,36,291,0.7,0.4,discrete,arc,no,0.8,0.6,-0.1,-0.2,-0.3,0,discretearc
17,One,32,557,0.1,0.4,discrete,juxtaposed,no,0.45,0.1,-0.35,0.3,-0.05,0,discretejuxtaposed
17,One,33,492,0.2,0.1,discrete,juxtaposed,no,0.1,0.4,0.1,-0.3,-0.2,0,discretejuxtaposed
17,One,39,812,0.45,0.1,continuous,juxtaposed,no,0.95,0.1,-0.5,0,-0.5,0,continuousjuxtaposed
17,One,37,443,0.4,0.4,discrete,square,yes,0.4,0.8,0,-0.4,-0.4,0,vsupdiscretesquare
